                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.25784,                0.50439,                 1.0954,                0.82851,                0.76794,                0.86769,                0.50246,                 0.2686,                0.56044,                 1.2807,               0.007525,               0.007525,               0.007525
                    102,                0.25781,                0.52005,                  1.087,                0.75354,                0.83539,                0.87215,                0.50391,                0.26863,                 0.6105,                 1.2794,              0.0075003,              0.0075003,              0.0075003
                    103,                0.24989,                0.49343,                 1.0798,                0.84302,                0.75744,                 0.8665,                 0.4753,                0.30782,                0.51419,                 1.3714,              0.0074755,              0.0074755,              0.0074755
                    104,                0.25798,                0.49076,                 1.0951,                0.79042,                0.82648,                0.88075,                0.51324,                0.26244,                0.49035,                 1.2598,              0.0074507,              0.0074507,              0.0074507
                    105,                  0.265,                 0.4929,                 1.0836,                0.76497,                0.83835,                0.88491,                0.51205,                0.26662,                 0.4809,                 1.2852,               0.007426,               0.007426,               0.007426
                    106,                 0.2558,                0.47328,                 1.0767,                0.85986,                0.75667,                0.87849,                0.50161,                 0.2807,                0.49816,                 1.3149,              0.0074013,              0.0074013,              0.0074013
                    107,                0.25055,                 0.4781,                 1.0708,                0.79465,                0.79191,                  0.869,                 0.4757,                0.29406,                0.53316,                 1.3388,              0.0073765,              0.0073765,              0.0073765
                    108,                0.25701,                0.47659,                 1.0711,                0.81644,                0.79184,                0.87876,                0.49505,                0.27685,                0.50365,                  1.305,              0.0073517,              0.0073517,              0.0073517
                    109,                0.26044,                0.49582,                 1.0817,                0.78361,                 0.8012,                0.86378,                0.48431,                0.26549,                 0.5461,                  1.277,               0.007327,               0.007327,               0.007327
                    110,                0.26014,                 0.4762,                 1.0757,                 0.8405,                0.75461,                0.86325,                0.47989,                0.29362,                0.57105,                 1.3302,              0.0073023,              0.0073023,              0.0073023
                    111,                0.24335,                0.48979,                  1.071,                0.83228,                0.79608,                0.87537,                0.49568,                0.27497,                0.51066,                 1.2975,              0.0072775,              0.0072775,              0.0072775
                    112,                0.25703,                0.46646,                 1.0736,                0.81355,                0.78789,                0.87064,                 0.5078,                0.26643,                0.54762,                 1.2558,              0.0072527,              0.0072527,              0.0072527
                    113,                0.24659,                0.46568,                 1.0542,                0.78199,                0.79019,                0.87285,                0.50754,                0.26988,                0.55851,                 1.2644,               0.007228,               0.007228,               0.007228
                    114,                0.25813,                0.46922,                 1.0781,                0.80231,                0.82633,                0.89821,                0.52458,                0.25132,                0.48457,                  1.231,              0.0072033,              0.0072033,              0.0072033
                    115,                0.24926,                0.46266,                 1.0582,                0.81006,                 0.8171,                0.87669,                0.51526,                0.25952,                0.53004,                 1.2618,              0.0071785,              0.0071785,              0.0071785
                    116,                   0.25,                0.47477,                 1.0595,                0.80799,                0.81874,                0.88179,                0.51624,                0.25673,                0.52067,                 1.2461,              0.0071538,              0.0071538,              0.0071538
                    117,                0.24686,                0.46056,                 1.0576,                0.85384,                0.77445,                0.89264,                0.52611,                 0.2525,                0.50561,                 1.2336,               0.007129,               0.007129,               0.007129
                    118,                0.25448,                0.47929,                  1.066,                0.80728,                0.85847,                0.90231,                0.53253,                0.25147,                0.46815,                 1.2211,              0.0071042,              0.0071042,              0.0071042
                    119,                0.24315,                0.45918,                  1.061,                0.84566,                 0.7967,                0.89492,                0.51999,                0.24503,                0.48427,                 1.2268,              0.0070795,              0.0070795,              0.0070795
                    120,                 0.2454,                0.45282,                 1.0594,                0.77843,                 0.7677,                0.84254,                0.47995,                0.29817,                0.57877,                 1.3314,              0.0070547,              0.0070547,              0.0070547
                    121,                0.25536,                 0.4333,                 1.0667,                0.82812,                0.78201,                0.87072,                0.50021,                0.27409,                  0.494,                 1.2808,                0.00703,                0.00703,                0.00703
                    122,                0.24998,                0.44826,                 1.0752,                0.79339,                 0.8507,                0.89663,                0.53571,                0.25205,                0.47731,                 1.2346,              0.0070053,              0.0070053,              0.0070053
                    123,                0.24881,                0.43052,                 1.0581,                 0.7765,                 0.8617,                 0.8946,                0.52177,                0.25644,                0.47551,                 1.2549,              0.0069805,              0.0069805,              0.0069805
                    124,                0.23904,                0.44974,                  1.047,                 0.8064,                0.78469,                0.87719,                0.50388,                0.27358,                0.49577,                 1.3004,              0.0069558,              0.0069558,              0.0069558
                    125,                0.23865,                0.44739,                 1.0557,                0.81404,                0.81425,                0.89136,                 0.5259,                0.25838,                0.49332,                 1.2493,               0.006931,               0.006931,               0.006931
                    126,                0.23321,                0.43404,                 1.0543,                0.80462,                 0.7664,                0.87044,                0.50746,                0.27196,                0.57245,                 1.2877,              0.0069063,              0.0069063,              0.0069063
                    127,                0.24037,                0.43687,                 1.0505,                0.80823,                0.83315,                0.89924,                0.53142,                0.25675,                 0.5033,                 1.2413,              0.0068815,              0.0068815,              0.0068815
                    128,                0.24343,                0.43486,                 1.0567,                0.75269,                0.86564,                0.88823,                0.52209,                0.25874,                0.53233,                 1.2369,              0.0068568,              0.0068568,              0.0068568
                    129,                0.24356,                0.43714,                 1.0515,                0.80813,                0.81275,                0.88687,                 0.5321,                0.24987,                0.51264,                  1.227,               0.006832,               0.006832,               0.006832
                    130,                0.25181,                0.42742,                 1.0575,                0.79095,                0.79812,                 0.8714,                0.49409,                0.28737,                0.55244,                  1.303,              0.0068073,              0.0068073,              0.0068073
                    131,                0.24732,                0.42255,                  1.054,                0.83086,                0.78988,                0.89377,                0.54247,                0.24147,                0.48454,                 1.2037,              0.0067825,              0.0067825,              0.0067825
                    132,                0.24227,                0.43482,                 1.0476,                0.81374,                0.81177,                 0.8923,                0.52999,                 0.2497,                 0.4993,                 1.2215,              0.0067577,              0.0067577,              0.0067577
                    133,                0.25041,                0.42502,                 1.0701,                0.86246,                0.76615,                0.87939,                0.52583,                0.25046,                0.52211,                 1.2354,               0.006733,               0.006733,               0.006733
                    134,                0.23199,                0.40686,                  1.034,                0.78846,                0.78344,                0.86495,                0.49979,                0.27708,                0.52313,                 1.2807,              0.0067082,              0.0067082,              0.0067082
                    135,                0.23224,                0.42019,                 1.0517,                0.85286,                0.74136,                0.87511,                0.51025,                0.25438,                0.53354,                 1.2399,              0.0066835,              0.0066835,              0.0066835
                    136,                0.23311,                0.42207,                 1.0435,                0.84077,                0.81889,                0.89204,                0.53371,                0.25032,                0.50006,                 1.2248,              0.0066587,              0.0066587,              0.0066587
                    137,                0.23422,                0.41309,                  1.046,                0.84532,                0.77769,                0.87743,                0.52353,                0.26083,                 0.5168,                 1.2611,               0.006634,               0.006634,               0.006634
