                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.25317,                0.66543,                 1.0451,                0.74241,                0.70239,                0.79694,                0.42887,                0.23373,                0.65063,                 1.1637,              0.0087625,              0.0087625,              0.0087625
                     52,                0.25247,                0.65885,                 1.0293,                0.74647,                0.71922,                0.79993,                0.39252,                0.25495,                0.63515,                 1.2246,              0.0087378,              0.0087378,              0.0087378
                     53,                0.25558,                0.67047,                 1.0425,                0.72589,                0.69026,                0.78259,                0.43154,                0.23854,                0.71336,                 1.1694,               0.008713,               0.008713,               0.008713
                     54,                0.25863,                0.66136,                 1.0387,                0.74842,                0.71217,                 0.7971,                0.44677,                0.22985,                0.62823,                 1.1326,              0.0086882,              0.0086882,              0.0086882
                     55,                 0.2497,                0.63649,                 1.0345,                0.76194,                0.71188,                0.79249,                 0.4526,                0.22157,                0.63799,                 1.1107,              0.0086635,              0.0086635,              0.0086635
                     56,                 0.2416,                0.64077,                 1.0297,                0.67099,                0.72309,                0.75244,                0.42111,                0.24197,                0.67419,                 1.1423,              0.0086388,              0.0086388,              0.0086388
                     57,                0.25069,                0.63038,                 1.0293,                0.75806,                0.71734,                0.80452,                0.45261,                0.22605,                0.62931,                  1.116,               0.008614,               0.008614,               0.008614
                     58,                0.24816,                0.62772,                 1.0367,                0.74393,                0.70722,                0.79209,                0.45183,                0.22507,                0.64929,                 1.1197,              0.0085893,              0.0085893,              0.0085893
                     59,                0.24185,                0.62969,                 1.0212,                0.76347,                0.71076,                 0.8008,                0.45304,                0.22693,                0.62928,                 1.1299,              0.0085645,              0.0085645,              0.0085645
                     60,                0.24313,                0.61774,                 1.0256,                0.74335,                0.72959,                0.79685,                0.44873,                0.22616,                0.65004,                 1.1198,              0.0085398,              0.0085398,              0.0085398
